Machine ID,Serial No.,Product Name,Product Type,Usage Pattern,Age of Equipment (months),Operational Temperature,Humidity/Pressure,Exposure to Chemicals,Govt Approved Standards,Availability of Spare Parts,No. of Spare Parts,Service Maintenance (months),,,,,,,,,,,
MACH001,SN234567,Ultrasound Scanner,Type-1,High,12,22-26°C,40-50% RH,No,Yes,Yes,25,8,,,,,,,,,,,
MACH002,SN890123,Anesthesia Machine,Type-3,Low,48,18-22°C,35-45% RH,Yes,Yes,Yes,30,9,,,,,,,,,,,
MACH003,SN456789,Ventilator,Type-2,High,6,20-24°C,40-60% RH,Yes,Yes,Yes,20,3,,,,,,,,,,,
MACH004,SN012345,ECG Machine,Type-2,Moderate,14,22-26°C,40-50% RH,No,Yes,Yes,18,6,,,,,,,,,,,
MACH005,SN678901,Defibrillator,Type-2,Low,36,18-22°C,35-45% RH,Yes,Yes,Yes,15,12,,,,,,,,,,,
MACH006,SN234567,Blood Gas Analyzer,Type-1,High,9,22-26°C,40-50% RH,No,Yes,Yes,22,4,,,,,,,,,,,
MACH007,SN890123,Infusion Pump,Type-2,Moderate,16,20-24°C,45-55% RH,Yes,Yes,Yes,28,6,,,,,,,,,,,
MACH008,SN456789,Laboratory Centrifuge,Type-1,Low,30,22-26°C,40-50% RH,No,Yes,Yes,20,8,,,,,,,,,,,
MACH009,SN012345,Surgical Robot,Type-3,High,42,18-22°C,40-60% RH,Yes,Yes,Yes,35,9,,,,,,,,,,,
MACH010,SN678901,Dialysis Machine,Type-2,Moderate,20,20-24°C,45-55% RH,Yes,Yes,Yes,25,12,,,,,,,,,,,
MACH011,SN234567,CT Scanner,Type-3,High,36,18-22°C,40-60% RH,Yes,Yes,Yes,30,12,,,,,,,,,,,
MACH012,SN890123,Endoscope,Type-1,Low,24,22-26°C,40-50% RH,No,Yes,Yes,18,6,,,,,,,,,,,
MACH013,SN456789,Patient Monitor,Type-2,Moderate,12,20-24°C,45-55% RH,Yes,Yes,Yes,20,6,,,,,,,,,,,
MACH014,SN012345,Electrocardiograph (ECG),Type-2,Low,20,22-26°C,40-50% RH,No,Yes,Yes,18,6,,,,,,,,,,,
MACH015,SN678901,Gamma Camera,Type-3,High,44,18-22°C,40-60% RH,Yes,Yes,Yes,30,12,,,,,,,,,,,
MACH016,SN234567,Incubator,Type-2,Moderate,32,20-24°C,45-55% RH,Yes,Yes,Yes,25,12,,,,,,,,,,,Line Chart
MACH017,SN890123,Microscope,Type-1,Low,28,22-26°C,40-50% RH,No,Yes,Yes,20,8,,,,,,,,,,,
MACH018,SN456789,Pulse Oximeter,Type-2,Moderate,19,20-24°C,45-55% RH,Yes,Yes,Yes,18,6,,,,,,,,,,,
MACH019,SN012345,Syringe Pump,Type-1,Low,36,22-26°C,40-50% RH,No,Yes,Yes,15,8,,,,,,,,,,,
MACH020,SN678901,Tourniquet System,Type-2,High,12,20-24°C,45-55% RH,Yes,Yes,Yes,10,3,,,,,,,,,,,
MACH021,SN234567,Wheelchair,Type-1,Low,40,Indoor use,N/A,No,Yes,Yes,0,0,,,,,,,,,,,
MACH022,SN890123,Surgical Light,Type-3,High,28,18-22°C,40-60% RH,Yes,Yes,Yes,25,9,,,,,,,,,,,
MACH023,SN456789,Blood Pressure Monitor,Type-2,Moderate,14,20-24°C,45-55% RH,Yes,Yes,Yes,18,6,,,,,,,,,,,
MACH024,SN012345,Suction Machine,Type-1,Low,26,22-26°C,40-50% RH,No,Yes,Yes,20,6,,,,,,,,,,,
MACH025,SN678901,Nebulizer,Type-2,High,36,20-24°C,45-55% RH,Yes,Yes,Yes,15,12,,,,,,,,,,,
MACH026,SN234567,Fetal Monitor,Type-1,Low,32,22-26°C,40-50% RH,No,Yes,Yes,18,6,,,,,,,,,,,
MACH027,SN890123,Glucose Meter,Type-2,Moderate,18,20-24°C,45-55% RH,Yes,Yes,Yes,20,6,,,,,,,,,,,
MACH028,SN456789,Infusion Pump,Type-1,Low,30,22-26°C,40-50% RH,No,Yes,Yes,20,8,,,,,,,,,,,
